nilai
79
86
82.5
78.5
80.5
88.5
85
80.5
86.5
83.5
78.5
89
83
80
81.5
87
80
87
85
80
82
91
85
81.5
85
82.5
82
85
85
84
87
88.5
81
86.5
87.5
83
84.5
91.5
86.5
81
85
84.5
87
83.5
85.5
83.5
89.5
82
87.5
89
84.5
85.5
91.5
87.5
83
85.5
85.5
87
83
86.5
86
91.5
84
89.5
91
88
87.5
93
88.5
83
87
88.5
89
85.5
89.5
86
94
92
91
93
90
89
90
89
94
89.5
89.5
90
88.5
90
87.5
96
